Nama_Lokasi,Jam_Login,Nama,Email,No_Telp,Tahun_Lahir,Merk_Hp,Digital_Interest,Location Type
Denpasar,5:12,User_308,user308@gmail.com,83302621358,2001,Samsung,Streaming,Desa
Jakarta,10:08,User_309,user309@gmail.com,81639675239,1974,Xiaomi,Shopping,Desa
Depok,10:20,User_310,user310@gmail.com,87342119792,1978,Xiaomi,Social Media,Kota
Bandung,14:12,User_311,user311@gmail.com,84595976020,2006,Xiaomi,Social Media,Desa
Solo,15:16,User_312,user312@gmail.com,81969344629,1987,Samsung,Gaming,Desa
Balikpapan,13:44,User_313,user313@gmail.com,83640053120,2009,Samsung,Shopping,Kota
Bekasi,6:01,User_314,user314@gmail.com,82554227121,1982,Xiaomi,Social Media,Desa
Jakarta,7:09,User_315,user315@gmail.com,85077545401,1991,Xiaomi,Streaming,Kota
Surabaya,0:59,User_316,user316@gmail.com,89997292035,1990,Oppo,Social Media,Kota
Bandung,10:20,User_317,user317@gmail.com,88347723841,2008,Xiaomi,Shopping,Desa
Denpasar,22:14,User_318,user318@gmail.com,89542639916,1990,Redmi,Shopping,Kota
Jakarta,7:46,User_319,user319@gmail.com,81964861193,1999,Redmi,Shopping,Kota
Balikpapan,23:21,User_320,user320@gmail.com,86944340556,1982,Apple,Shopping,Desa
Yogyakarta,18:57,User_321,user321@gmail.com,81979766883,1999,Vivo,Streaming,Kota
Jakarta,12:13,User_322,user322@gmail.com,84960577089,2003,Samsung,Streaming,Desa
Bandung,21:44,User_323,user323@gmail.com,86271595098,2001,Apple,Shopping,Desa
Bandung,12:58,User_324,user324@gmail.com,87844175773,1979,Vivo,Streaming,Desa
Denpasar,6:12,User_325,user325@gmail.com,88992816706,1991,Vivo,Streaming,Kota
Denpasar,11:08,User_326,user326@gmail.com,81844919155,1979,Samsung,Social Media,Kota
Balikpapan,4:02,User_327,user327@gmail.com,86248001465,1970,Oppo,Shopping,Kota
Bekasi,3:28,User_328,user328@gmail.com,84758759846,1972,Redmi,Streaming,Kota
Surabaya,16:14,User_329,user329@gmail.com,83337592582,1989,Oppo,Shopping,Kota
Yogyakarta,4:06,User_330,user330@gmail.com,87603293883,2010,Apple,Social Media,Kota
Bandung,1:31,User_331,user331@gmail.com,82056361945,1984,Vivo,Social Media,Kota
Bandung,16:11,User_332,user332@gmail.com,83216262994,1996,Samsung,Streaming,Desa
Jakarta,7:42,User_333,user333@gmail.com,81669319867,1990,Apple,Shopping,Desa
Denpasar,6:55,User_334,user334@gmail.com,86274354595,1997,Oppo,Shopping,Desa
Jakarta,2:35,User_335,user335@gmail.com,85337304687,1974,Vivo,Streaming,Desa
Solo,7:35,User_336,user336@gmail.com,87848406359,2006,Apple,Social Media,Kota
Jakarta,18:50,User_337,user337@gmail.com,85831461601,1990,Apple,Shopping,Kota
Bandung,4:11,User_338,user338@gmail.com,84145310160,1976,Xiaomi,Social Media,Desa
Jakarta,20:24,User_339,user339@gmail.com,83019417598,1997,Samsung,Social Media,Desa
Bekasi,15:29,User_340,user340@gmail.com,81809036964,1977,Xiaomi,Shopping,Desa
Semarang,10:41,User_341,user341@gmail.com,82872137223,2007,Xiaomi,Social Media,Kota
Bekasi,2:23,User_342,user342@gmail.com,89731010690,2008,Samsung,Shopping,Kota
Balikpapan,3:58,User_343,user343@gmail.com,88315519078,1971,Oppo,Gaming,Desa
Yogyakarta,16:08,User_344,user344@gmail.com,89902177738,2001,Vivo,Gaming,Desa
Denpasar,22:15,User_345,user345@gmail.com,81948759915,2009,Samsung,Social Media,Kota
Depok,4:26,User_346,user346@gmail.com,81947471022,1994,Oppo,Gaming,Desa
Bandung,15:23,User_347,user347@gmail.com,87744657233,1991,Oppo,Social Media,Kota
Bekasi,17:49,User_348,user348@gmail.com,88297199979,1994,Redmi,Shopping,Kota
Bekasi,1:36,User_349,user349@gmail.com,85003571873,2006,Vivo,Streaming,Kota
Semarang,22:40,User_350,user350@gmail.com,83540711855,1977,Redmi,Shopping,Kota
Jakarta,10:51,User_351,user351@gmail.com,81318423188,2009,Redmi,Social Media,Kota
Semarang,5:52,User_352,user352@gmail.com,89351458562,1979,Apple,Streaming,Desa
Semarang,22:02,User_353,user353@gmail.com,88957703766,2002,Oppo,Gaming,Desa
Semarang,4:47,User_354,user354@gmail.com,88861842480,1976,Oppo,Shopping,Kota
Semarang,5:01,User_355,user355@gmail.com,81491339202,1992,Apple,Shopping,Desa
Depok,14:10,User_356,user356@gmail.com,86117307048,2005,Oppo,Gaming,Kota
Semarang,22:45,User_357,user357@gmail.com,87106045915,1993,Xiaomi,Streaming,Desa
Denpasar,18:03,User_358,user358@gmail.com,84384290071,1981,Apple,Shopping,Kota
Yogyakarta,3:23,User_359,user359@gmail.com,88084060395,1990,Vivo,Gaming,Desa
Jakarta,23:32,User_360,user360@gmail.com,81457908769,1979,Oppo,Gaming,Kota
Bandung,23:21,User_361,user361@gmail.com,89846880462,1999,Oppo,Social Media,Kota
Surabaya,4:57,User_362,user362@gmail.com,89085934271,1998,Xiaomi,Streaming,Kota
Bandung,1:06,User_363,user363@gmail.com,85407253105,1987,Samsung,Gaming,Desa
Balikpapan,16:32,User_364,user364@gmail.com,86247972562,2010,Apple,Social Media,Desa
Surabaya,22:45,User_365,user365@gmail.com,81147271795,1991,Samsung,Gaming,Desa
Balikpapan,6:03,User_366,user366@gmail.com,84678192628,1998,Apple,Gaming,Kota
Depok,9:15,User_367,user367@gmail.com,82580152026,2001,Vivo,Streaming,Desa
Depok,16:30,User_368,user368@gmail.com,89468810589,1986,Oppo,Gaming,Kota
Yogyakarta,0:07,User_369,user369@gmail.com,87107603532,1977,Oppo,Streaming,Desa
Yogyakarta,2:14,User_370,user370@gmail.com,82033966730,2009,Redmi,Shopping,Desa
Jakarta,6:00,User_371,user371@gmail.com,83060031296,1990,Xiaomi,Streaming,Desa
Surabaya,11:01,User_372,user372@gmail.com,85190969607,1972,Xiaomi,Gaming,Kota
Denpasar,18:23,User_373,user373@gmail.com,82657345694,1988,Samsung,Social Media,Desa
Yogyakarta,20:30,User_374,user374@gmail.com,84357031372,1974,Xiaomi,Shopping,Kota
Jakarta,9:16,User_375,user375@gmail.com,87190980720,1988,Xiaomi,Social Media,Kota
Surabaya,7:05,User_376,user376@gmail.com,82318534059,1975,Apple,Social Media,Desa
Depok,23:24,User_377,user377@gmail.com,89263863845,1973,Oppo,Gaming,Desa
Balikpapan,3:20,User_378,user378@gmail.com,83718653187,1989,Oppo,Gaming,Desa
Jakarta,2:45,User_379,user379@gmail.com,88958431311,1998,Oppo,Gaming,Kota
Surabaya,4:32,User_380,user380@gmail.com,87677259497,2006,Oppo,Streaming,Kota
Balikpapan,17:10,User_381,user381@gmail.com,86322685970,1990,Xiaomi,Gaming,Desa
Bekasi,8:37,User_382,user382@gmail.com,89474034943,1975,Vivo,Shopping,Desa
Yogyakarta,22:42,User_383,user383@gmail.com,88575946029,1989,Oppo,Shopping,Kota
Surabaya,15:30,User_384,user384@gmail.com,82990333716,2002,Vivo,Shopping,Kota
Surabaya,14:10,User_385,user385@gmail.com,82825747371,1982,Oppo,Gaming,Desa
Balikpapan,13:44,User_386,user386@gmail.com,82590200121,1979,Vivo,Shopping,Desa
Yogyakarta,7:42,User_387,user387@gmail.com,89185120922,1996,Redmi,Streaming,Kota
Denpasar,20:33,User_388,user388@gmail.com,89052606127,1985,Apple,Streaming,Desa
Yogyakarta,9:26,User_389,user389@gmail.com,86482702768,1982,Redmi,Streaming,Kota
Denpasar,15:12,User_390,user390@gmail.com,83790192798,1986,Redmi,Social Media,Kota
Yogyakarta,13:02,User_391,user391@gmail.com,87070597448,1988,Vivo,Shopping,Kota
Yogyakarta,19:22,User_392,user392@gmail.com,87690492132,1983,Apple,Social Media,Kota
Bandung,18:17,User_393,user393@gmail.com,89514614021,1970,Redmi,Shopping,Desa
Jakarta,17:06,User_394,user394@gmail.com,88379364356,2007,Apple,Streaming,Kota
Surabaya,13:22,User_395,user395@gmail.com,86214867093,1970,Vivo,Gaming,Kota
Bandung,15:45,User_396,user396@gmail.com,82218116652,2003,Xiaomi,Social Media,Kota
Bandung,19:12,User_397,user397@gmail.com,89495178005,1987,Xiaomi,Gaming,Desa
Balikpapan,13:46,User_398,user398@gmail.com,86085980006,1973,Samsung,Shopping,Desa
Bekasi,3:44,User_399,user399@gmail.com,88745220245,2009,Apple,Social Media,Kota
Depok,19:20,User_400,user400@gmail.com,84980977017,1983,Xiaomi,Streaming,Kota
Bekasi,0:46,User_401,user401@gmail.com,86472609581,1989,Redmi,Social Media,Kota
Jakarta,15:01,User_402,user402@gmail.com,82082478514,2001,Xiaomi,Streaming,Kota
Surabaya,9:32,User_403,user403@gmail.com,89251615303,2003,Apple,Shopping,Kota
Bandung,19:23,User_404,user404@gmail.com,83192351035,2000,Redmi,Streaming,Desa
Semarang,2:39,User_405,user405@gmail.com,87314956656,1972,Xiaomi,Gaming,Desa
Solo,3:09,User_406,user406@gmail.com,85166823278,1976,Samsung,Social Media,Desa
Bekasi,20:11,User_407,user407@gmail.com,83405633523,1991,Oppo,Social Media,Kota
Solo,7:40,User_408,user408@gmail.com,82989553434,1995,Oppo,Social Media,Desa
Balikpapan,14:47,User_409,user409@gmail.com,88953889032,2009,Vivo,Streaming,Kota
Semarang,17:32,User_410,user410@gmail.com,83009422223,1996,Redmi,Social Media,Desa
Jakarta,22:04,User_411,user411@gmail.com,83360651735,1993,Apple,Gaming,Kota
Yogyakarta,8:25,User_412,user412@gmail.com,83495844978,1998,Xiaomi,Social Media,Kota
Solo,17:29,User_413,user413@gmail.com,88957056192,2001,Vivo,Streaming,Kota
Solo,21:43,User_414,user414@gmail.com,87423996051,1982,Redmi,Streaming,Kota
Surabaya,18:34,User_415,user415@gmail.com,86033495456,1981,Vivo,Gaming,Kota
Denpasar,19:36,User_416,user416@gmail.com,87314572331,1989,Samsung,Gaming,Kota
Depok,21:30,User_417,user417@gmail.com,83568581521,1987,Xiaomi,Social Media,Kota
Denpasar,15:54,User_418,user418@gmail.com,86511987246,1998,Samsung,Shopping,Kota
Yogyakarta,5:07,User_419,user419@gmail.com,85385849795,1973,Oppo,Social Media,Desa
Denpasar,20:51,User_420,user420@gmail.com,84440136694,1975,Oppo,Social Media,Desa
Jakarta,19:43,User_421,user421@gmail.com,87094298002,2003,Xiaomi,Shopping,Desa
Yogyakarta,0:16,User_422,user422@gmail.com,86268348904,2009,Oppo,Shopping,Desa
Balikpapan,5:44,User_423,user423@gmail.com,86793083914,1973,Redmi,Gaming,Kota
Bekasi,18:00,User_424,user424@gmail.com,87919254514,1978,Oppo,Streaming,Desa
Bekasi,5:31,User_425,user425@gmail.com,83604534392,1998,Oppo,Social Media,Kota
Bandung,2:20,User_426,user426@gmail.com,81149132902,1990,Vivo,Streaming,Kota
Bandung,16:40,User_427,user427@gmail.com,87443031326,2007,Redmi,Shopping,Desa
Balikpapan,15:59,User_428,user428@gmail.com,88027958350,1978,Redmi,Streaming,Desa
Denpasar,12:55,User_429,user429@gmail.com,81789472874,1984,Vivo,Streaming,Desa
Yogyakarta,19:10,User_430,user430@gmail.com,83674187624,1978,Apple,Streaming,Desa
Bandung,3:35,User_431,user431@gmail.com,87383388430,1998,Xiaomi,Shopping,Kota
Bekasi,8:11,User_432,user432@gmail.com,85567274479,2009,Redmi,Gaming,Kota
Denpasar,5:36,User_433,user433@gmail.com,81505368655,1979,Xiaomi,Shopping,Desa
Balikpapan,10:24,User_434,user434@gmail.com,83533421607,1997,Apple,Social Media,Desa
Depok,7:20,User_435,user435@gmail.com,85907484468,1983,Vivo,Streaming,Kota
Yogyakarta,6:45,User_436,user436@gmail.com,88683255996,1985,Redmi,Social Media,Kota
Bandung,7:38,User_437,user437@gmail.com,81568803436,1988,Redmi,Shopping,Desa
Surabaya,1:17,User_438,user438@gmail.com,84017752499,1988,Oppo,Streaming,Desa
Bandung,22:32,User_439,user439@gmail.com,82137064201,1977,Vivo,Streaming,Desa
Depok,6:57,User_440,user440@gmail.com,84329294292,2005,Apple,Gaming,Kota
Denpasar,21:51,User_441,user441@gmail.com,81829005435,1990,Vivo,Social Media,Desa
Balikpapan,7:10,User_442,user442@gmail.com,84251945815,1975,Xiaomi,Shopping,Desa
Solo,22:38,User_443,user443@gmail.com,88928840733,1999,Oppo,Social Media,Kota
Surabaya,7:11,User_444,user444@gmail.com,83980465790,1980,Samsung,Gaming,Desa
Bekasi,8:46,User_445,user445@gmail.com,87467030492,1983,Apple,Social Media,Desa
Balikpapan,23:11,User_446,user446@gmail.com,89816851060,1975,Vivo,Shopping,Desa
Depok,1:27,User_447,user447@gmail.com,83140476915,1985,Apple,Social Media,Desa
Bekasi,16:18,User_448,user448@gmail.com,87404297947,1997,Oppo,Gaming,Desa
Balikpapan,3:32,User_449,user449@gmail.com,85166144691,1978,Vivo,Streaming,Desa
Solo,3:47,User_450,user450@gmail.com,84913732002,1991,Vivo,Shopping,Desa
Depok,0:36,User_451,user451@gmail.com,89312576077,1996,Apple,Social Media,Kota
Denpasar,17:33,User_452,user452@gmail.com,89943919650,1986,Oppo,Gaming,Kota
Depok,10:56,User_453,user453@gmail.com,82324473241,1976,Apple,Streaming,Desa
Jakarta,10:33,User_454,user454@gmail.com,81121278763,1979,Redmi,Shopping,Desa
Surabaya,19:24,User_455,user455@gmail.com,89703473536,1999,Apple,Shopping,Desa
Denpasar,1:46,User_456,user456@gmail.com,87432666992,1980,Samsung,Gaming,Desa
Bandung,15:15,User_457,user457@gmail.com,86817398708,1992,Redmi,Gaming,Kota
Bekasi,22:15,User_458,user458@gmail.com,88209238120,1981,Xiaomi,Shopping,Desa
Surabaya,21:49,User_459,user459@gmail.com,83340967698,1973,Oppo,Gaming,Kota
Solo,5:02,User_460,user460@gmail.com,84177108650,2006,Vivo,Streaming,Desa
Yogyakarta,12:05,User_461,user461@gmail.com,89632563085,1990,Samsung,Shopping,Kota
Bandung,9:29,User_462,user462@gmail.com,81171839195,1984,Xiaomi,Social Media,Desa
Balikpapan,19:22,User_463,user463@gmail.com,84110835243,1974,Vivo,Streaming,Desa
Semarang,13:12,User_464,user464@gmail.com,82325139996,1998,Vivo,Shopping,Kota
Jakarta,8:37,User_465,user465@gmail.com,82754175251,2010,Apple,Social Media,Desa
Depok,20:28,User_466,user466@gmail.com,86444935338,2002,Xiaomi,Gaming,Kota
Solo,23:43,User_467,user467@gmail.com,88494680950,1995,Oppo,Social Media,Desa
Depok,14:41,User_468,user468@gmail.com,87479287250,1971,Apple,Social Media,Desa
Semarang,9:58,User_469,user469@gmail.com,84287234621,1985,Xiaomi,Social Media,Kota
Bandung,11:05,User_470,user470@gmail.com,83565058158,2002,Xiaomi,Streaming,Desa
Jakarta,12:41,User_471,user471@gmail.com,81028071094,1991,Xiaomi,Streaming,Desa
Balikpapan,7:50,User_472,user472@gmail.com,81992012148,1970,Vivo,Streaming,Kota
Surabaya,4:44,User_473,user473@gmail.com,83619378268,1981,Xiaomi,Streaming,Desa
Balikpapan,12:16,User_474,user474@gmail.com,88244664509,2000,Xiaomi,Streaming,Desa
Semarang,7:40,User_475,user475@gmail.com,83169609380,1979,Xiaomi,Social Media,Kota
Balikpapan,13:38,User_476,user476@gmail.com,86913948276,1970,Apple,Streaming,Desa
Bekasi,14:27,User_477,user477@gmail.com,86858061755,1994,Xiaomi,Shopping,Desa
Denpasar,4:01,User_478,user478@gmail.com,83167654219,1998,Xiaomi,Shopping,Desa
Denpasar,21:15,User_479,user479@gmail.com,88311071161,1978,Samsung,Gaming,Desa
Yogyakarta,10:19,User_480,user480@gmail.com,87935015406,1991,Redmi,Streaming,Kota
Surabaya,17:54,User_481,user481@gmail.com,88414564442,1986,Samsung,Shopping,Desa
Surabaya,15:43,User_482,user482@gmail.com,82194507936,2008,Samsung,Social Media,Kota
Jakarta,16:32,User_483,user483@gmail.com,89814220282,1998,Redmi,Social Media,Desa
Solo,14:15,User_484,user484@gmail.com,87456218943,1988,Apple,Gaming,Desa
Balikpapan,0:51,User_485,user485@gmail.com,83135098382,1990,Samsung,Streaming,Kota
Jakarta,20:01,User_486,user486@gmail.com,83838789926,1990,Vivo,Social Media,Kota
Jakarta,9:37,User_487,user487@gmail.com,83575514553,1980,Apple,Gaming,Kota
Yogyakarta,8:33,User_488,user488@gmail.com,82561682058,2007,Oppo,Shopping,Kota
Bandung,21:39,User_489,user489@gmail.com,82981362778,1979,Apple,Streaming,Desa
Surabaya,17:20,User_490,user490@gmail.com,81645480332,1971,Xiaomi,Streaming,Desa
Surabaya,23:25,User_491,user491@gmail.com,84964322220,1972,Apple,Streaming,Kota
Bekasi,3:18,User_492,user492@gmail.com,87043763221,1994,Vivo,Streaming,Desa
Semarang,11:17,User_493,user493@gmail.com,85834446286,1996,Redmi,Streaming,Kota
Yogyakarta,17:10,User_494,user494@gmail.com,87701865696,1975,Xiaomi,Shopping,Kota
Bekasi,7:03,User_495,user495@gmail.com,88054599453,1999,Redmi,Gaming,Kota
Semarang,22:01,User_496,user496@gmail.com,81972226700,1984,Redmi,Shopping,Kota
Depok,17:22,User_497,user497@gmail.com,89572361714,1974,Redmi,Social Media,Desa
Depok,14:42,User_498,user498@gmail.com,86382796360,1980,Apple,Shopping,Desa
Surabaya,15:16,User_499,user499@gmail.com,83878772600,2004,Vivo,Shopping,Desa
Balikpapan,20:54,User_500,user500@gmail.com,89356110899,1996,Oppo,Shopping,Kota
Solo,16:53,User_501,user501@gmail.com,81524076945,1986,Xiaomi,Gaming,Kota
Bekasi,4:01,User_502,user502@gmail.com,82836477463,1975,Xiaomi,Shopping,Desa
Semarang,18:43,User_503,user503@gmail.com,85252763220,1995,Redmi,Shopping,Desa
Denpasar,18:19,User_504,user504@gmail.com,87165314491,1998,Samsung,Gaming,Kota
Semarang,14:26,User_505,user505@gmail.com,87020146872,2005,Xiaomi,Shopping,Desa
Jakarta,12:06,User_506,user506@gmail.com,81685924107,1993,Samsung,Streaming,Desa
Surabaya,23:08,User_507,user507@gmail.com,81185225257,1993,Vivo,Gaming,Desa
Semarang,17:05,User_508,user508@gmail.com,88194089488,2005,Apple,Gaming,Kota
Bekasi,14:59,User_509,user509@gmail.com,82325676390,1994,Xiaomi,Gaming,Desa
Semarang,14:45,User_510,user510@gmail.com,87524873528,1996,Oppo,Gaming,Kota
Semarang,8:02,User_511,user511@gmail.com,86429459124,1983,Vivo,Gaming,Kota
Jakarta,10:19,User_512,user512@gmail.com,83884205089,1980,Oppo,Social Media,Kota
Yogyakarta,23:33,User_513,user513@gmail.com,82749363710,1997,Redmi,Gaming,Desa
Denpasar,6:30,User_514,user514@gmail.com,83276024743,1984,Vivo,Shopping,Desa
Semarang,22:36,User_515,user515@gmail.com,81485039956,1998,Apple,Social Media,Desa
Bekasi,3:27,User_516,user516@gmail.com,81433524789,2006,Xiaomi,Gaming,Desa
Bandung,14:22,User_517,user517@gmail.com,88817756803,1978,Redmi,Shopping,Kota
Jakarta,5:44,User_518,user518@gmail.com,87994652996,1979,Xiaomi,Social Media,Kota
Jakarta,2:40,User_519,user519@gmail.com,86830875419,1984,Samsung,Gaming,Desa
Jakarta,7:52,User_520,user520@gmail.com,87305144352,1987,Oppo,Shopping,Desa
Denpasar,3:09,User_521,user521@gmail.com,85700432476,1997,Samsung,Streaming,Kota
Semarang,21:39,User_522,user522@gmail.com,88081802350,1991,Vivo,Streaming,Desa
Denpasar,5:15,User_523,user523@gmail.com,83608915095,2008,Apple,Gaming,Kota
Bekasi,11:16,User_524,user524@gmail.com,81960022960,1973,Oppo,Gaming,Kota
Yogyakarta,1:17,User_525,user525@gmail.com,87187993247,1982,Redmi,Gaming,Desa
Bandung,1:15,User_526,user526@gmail.com,82622785576,2009,Redmi,Shopping,Desa
Depok,2:58,User_527,user527@gmail.com,86571729847,1979,Oppo,Gaming,Kota
Semarang,14:34,User_528,user528@gmail.com,85127787161,1976,Oppo,Streaming,Desa
Yogyakarta,4:48,User_529,user529@gmail.com,85984939633,2010,Samsung,Gaming,Desa
Solo,16:58,User_530,user530@gmail.com,86280075929,2004,Apple,Social Media,Desa
Bekasi,23:30,User_531,user531@gmail.com,83485466273,2001,Vivo,Social Media,Desa
Balikpapan,8:07,User_532,user532@gmail.com,89298449802,1973,Redmi,Shopping,Kota
Jakarta,4:34,User_533,user533@gmail.com,86284280470,2003,Oppo,Social Media,Desa
Yogyakarta,18:00,User_534,user534@gmail.com,84279561590,1979,Xiaomi,Shopping,Kota
Jakarta,23:27,User_535,user535@gmail.com,81757614653,1981,Redmi,Streaming,Desa
Surabaya,0:32,User_536,user536@gmail.com,84827814146,1991,Samsung,Social Media,Desa
Surabaya,23:25,User_537,user537@gmail.com,83633184829,1978,Xiaomi,Gaming,Kota
Yogyakarta,22:22,User_538,user538@gmail.com,87020781576,1972,Redmi,Social Media,Kota
Depok,13:19,User_539,user539@gmail.com,81389891804,1997,Xiaomi,Social Media,Kota
Depok,23:46,User_540,user540@gmail.com,81708025324,1994,Xiaomi,Social Media,Kota
Jakarta,3:45,User_541,user541@gmail.com,85961788790,1991,Xiaomi,Gaming,Kota
Semarang,15:55,User_542,user542@gmail.com,82077673095,1974,Xiaomi,Gaming,Kota
Denpasar,20:59,User_543,user543@gmail.com,85358403489,2002,Apple,Streaming,Desa
Bekasi,20:34,User_544,user544@gmail.com,83822211762,1997,Oppo,Social Media,Desa
Bandung,1:43,User_545,user545@gmail.com,86918373491,1971,Apple,Shopping,Desa
Balikpapan,12:13,User_546,user546@gmail.com,86244467351,2008,Xiaomi,Streaming,Kota
Yogyakarta,1:44,User_547,user547@gmail.com,81888543805,2007,Apple,Gaming,Desa
Depok,15:55,User_548,user548@gmail.com,89886146822,1981,Samsung,Social Media,Desa
Semarang,15:02,User_549,user549@gmail.com,85443825599,1976,Samsung,Streaming,Desa
Bekasi,9:53,User_550,user550@gmail.com,81048885148,1974,Redmi,Shopping,Desa
Semarang,20:16,User_551,user551@gmail.com,84441375026,1984,Samsung,Gaming,Desa
Bekasi,6:01,User_552,user552@gmail.com,84403526937,1993,Apple,Social Media,Desa
Jakarta,21:35,User_553,user553@gmail.com,81800968054,2006,Redmi,Shopping,Desa
Bandung,5:12,User_554,user554@gmail.com,83602456264,1982,Redmi,Gaming,Kota
Balikpapan,8:54,User_555,user555@gmail.com,85904494474,1995,Redmi,Gaming,Desa
Surabaya,0:55,User_556,user556@gmail.com,82666382260,2008,Oppo,Gaming,Kota
Depok,7:38,User_557,user557@gmail.com,88622187498,1988,Apple,Social Media,Kota
Depok,16:09,User_558,user558@gmail.com,83961017178,1988,Samsung,Streaming,Desa
Denpasar,5:18,User_559,user559@gmail.com,81635345917,2007,Oppo,Social Media,Desa
Balikpapan,5:57,User_560,user560@gmail.com,88248872258,2000,Xiaomi,Streaming,Desa
Semarang,11:48,User_561,user561@gmail.com,83586506374,1983,Xiaomi,Social Media,Kota
Bandung,5:30,User_562,user562@gmail.com,84529753996,1999,Redmi,Streaming,Desa
Bekasi,12:54,User_563,user563@gmail.com,83570370509,2000,Oppo,Streaming,Desa
Bekasi,16:17,User_564,user564@gmail.com,88389511109,2007,Samsung,Shopping,Kota
Solo,18:22,User_565,user565@gmail.com,88257711995,1985,Samsung,Shopping,Desa
Depok,9:34,User_566,user566@gmail.com,85297717338,1990,Xiaomi,Social Media,Kota
Depok,23:14,User_567,user567@gmail.com,83197046505,2001,Xiaomi,Social Media,Desa
Solo,4:35,User_568,user568@gmail.com,89007414109,2001,Xiaomi,Streaming,Kota
Balikpapan,14:18,User_569,user569@gmail.com,84944441150,1987,Oppo,Shopping,Kota
Solo,13:39,User_570,user570@gmail.com,88519423505,2000,Vivo,Social Media,Kota
Bandung,21:58,User_571,user571@gmail.com,81086056474,1978,Apple,Gaming,Desa
Semarang,8:57,User_572,user572@gmail.com,88137883473,1970,Oppo,Streaming,Desa
Yogyakarta,13:26,User_573,user573@gmail.com,82169237327,1991,Xiaomi,Streaming,Desa
Yogyakarta,21:44,User_574,user574@gmail.com,86651176935,1976,Redmi,Social Media,Desa
Solo,0:49,User_575,user575@gmail.com,83935488199,1998,Redmi,Streaming,Kota
Surabaya,17:05,User_576,user576@gmail.com,88234898312,1977,Samsung,Social Media,Kota
Semarang,14:41,User_577,user577@gmail.com,85427703913,1988,Redmi,Social Media,Kota
Bandung,12:29,User_578,user578@gmail.com,82017344630,1979,Redmi,Social Media,Desa
Depok,4:14,User_579,user579@gmail.com,82660073691,1978,Samsung,Social Media,Desa
Jakarta,5:21,User_580,user580@gmail.com,81730396875,1972,Apple,Shopping,Kota
Depok,19:46,User_581,user581@gmail.com,88266140630,1975,Oppo,Social Media,Kota
Bandung,19:45,User_582,user582@gmail.com,89257157723,1984,Oppo,Streaming,Kota
Depok,8:33,User_583,user583@gmail.com,89971472479,1971,Samsung,Social Media,Kota
Solo,15:23,User_584,user584@gmail.com,81134877969,1997,Oppo,Social Media,Kota
Bandung,1:18,User_585,user585@gmail.com,85931061690,1995,Apple,Social Media,Desa
Balikpapan,3:20,User_586,user586@gmail.com,82581125194,1982,Vivo,Streaming,Desa
Denpasar,3:03,User_587,user587@gmail.com,84675102262,1982,Apple,Social Media,Desa
Solo,0:53,User_588,user588@gmail.com,89084922158,1977,Redmi,Shopping,Desa
Balikpapan,9:54,User_589,user589@gmail.com,84432387974,1980,Apple,Streaming,Kota
Denpasar,20:11,User_590,user590@gmail.com,82367047960,1998,Samsung,Social Media,Kota
Depok,7:29,User_591,user591@gmail.com,82018645993,2009,Oppo,Social Media,Desa
Yogyakarta,5:14,User_592,user592@gmail.com,89850078060,1987,Apple,Social Media,Kota
Denpasar,4:40,User_593,user593@gmail.com,84518707737,1986,Apple,Streaming,Kota
Jakarta,9:36,User_594,user594@gmail.com,88833932583,1977,Oppo,Gaming,Desa
Surabaya,2:53,User_595,user595@gmail.com,87830620279,1972,Redmi,Shopping,Kota
Bandung,4:10,User_596,user596@gmail.com,88087725803,2008,Oppo,Gaming,Kota
Semarang,20:56,User_597,user597@gmail.com,82240991463,1990,Xiaomi,Gaming,Desa
Jakarta,15:41,User_598,user598@gmail.com,89405035523,2007,Oppo,Social Media,Desa
Bekasi,5:43,User_599,user599@gmail.com,85329669575,1994,Redmi,Shopping,Kota
Surabaya,8:10,User_600,user600@gmail.com,83694424666,1977,Oppo,Gaming,Kota
Surabaya,20:28,User_601,user601@gmail.com,81424600583,2005,Samsung,Social Media,Kota
Depok,5:36,User_602,user602@gmail.com,88753012952,1974,Redmi,Shopping,Desa
Balikpapan,16:28,User_603,user603@gmail.com,85371046934,1998,Apple,Streaming,Kota
Bekasi,7:06,User_604,user604@gmail.com,87638827941,1995,Samsung,Streaming,Desa
Yogyakarta,1:18,User_605,user605@gmail.com,82969101343,2008,Vivo,Social Media,Desa
Surabaya,13:12,User_606,user606@gmail.com,89802115488,1982,Vivo,Gaming,Desa
Jakarta,23:21,User_607,user607@gmail.com,89287085153,1983,Samsung,Social Media,Kota
Depok,4:25,User_608,user608@gmail.com,82651316978,1989,Apple,Gaming,Kota
Balikpapan,2:47,User_609,user609@gmail.com,82015835784,1986,Xiaomi,Gaming,Desa
Bekasi,22:45,User_610,user610@gmail.com,87530655653,1973,Oppo,Streaming,Desa
Jakarta,5:21,User_611,user611@gmail.com,87802718552,1989,Xiaomi,Social Media,Desa
Surabaya,9:50,User_612,user612@gmail.com,86284875644,1990,Xiaomi,Gaming,Kota
Solo,4:56,User_613,user613@gmail.com,85160889242,1971,Xiaomi,Shopping,Kota
Surabaya,11:15,User_614,user614@gmail.com,85364650495,1985,Samsung,Shopping,Desa
Surabaya,21:04,User_615,user615@gmail.com,82958634143,2000,Vivo,Shopping,Kota
Surabaya,1:03,User_616,user616@gmail.com,83267483705,1980,Samsung,Streaming,Desa
